,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,diffexpressed,gene_symbol,Candidate_EMG,delabel,Candidate_w_FC
SK1_16T02330.1|CDS=1-2844|Name=YPL036W|PMA2,748.7470974,-1.980928779,0.197961269,-10.00664824,1.42E-23,2.50E-22,DOWN,PMA2,FALSE,NA,HIT
SK1_02T03390.1|CDS=1-1659|Name=YBR248C|HIS7,687.0641865,-2.207141592,0.220576003,-10.00626342,1.43E-23,2.50E-22,DOWN,HIS7,FALSE,NA,HIT
SK1_16T03820.1|CDS=1-438|Name=YPR132W|RPS23B,824.5121758,-1.697163122,0.170033099,-9.981369089,1.84E-23,3.21E-22,DOWN,RPS23B,FALSE,NA,HIT
SK1_16T01830.1|CDS=1-1377|Name=YPL092W|SSU1,867.1132921,-2.008233367,0.201419888,-9.970382681,2.05E-23,3.56E-22,DOWN,SSU1,FALSE,NA,HIT
SK1_12T03260.1|CDS=1-1347|Name=YLR300W|EXG1,3300.692861,-1.87323513,0.187912024,-9.968681574,2.09E-23,3.61E-22,DOWN,EXG1,FALSE,NA,HIT
SK1_14T01410.1|CDS=1-723|Name=YNL178W|RPS3,1481.393109,-2.270800473,0.227980805,-9.960489743,2.27E-23,3.91E-22,DOWN,RPS3,FALSE,NA,HIT
SK1_14T01300.1|CDS=1-615|Name=YNL190W|YNL190W,1486.79624,-1.79139593,0.180037525,-9.950125309,2.52E-23,4.30E-22,DOWN,YNL190W,FALSE,NA,HIT
SK1_05T01930.1|CDS=1-414|Name=YER117W|RPL23B,1130.632945,-1.590208247,0.160238794,-9.923990347,3.27E-23,5.55E-22,DOWN,RPL23B,FALSE,NA,HIT
SK1_05T01230.1|CDS=1-1935|Name=YER049W|TPA1,314.0901401,-1.812663682,0.182995938,-9.905485895,3.94E-23,6.66E-22,DOWN,TPA1,FALSE,NA,HIT
SK1_07T02010.1|CDS=1-468|Name=YGL031C|RPL24A,571.5798814,-2.078193463,0.210062545,-9.893212844,4.45E-23,7.46E-22,DOWN,RPL24A,FALSE,NA,HIT
SK1_12T02210.1|CDS=1-1149|Name=YLR180W|SAM1,893.1582277,-1.703382765,0.172579189,-9.870151627,5.61E-23,9.34E-22,DOWN,SAM1,FALSE,NA,HIT
SK1_13T00160.1|CDS=1-1629|Name=YML116W|ATR1,357.1970361,-2.327550489,0.236091517,-9.858679025,6.29E-23,1.04E-21,DOWN,ATR1,FALSE,NA,HIT
SK1_10T00570.1|CDS=1-1170|Name=YJL159W|HSP150,33077.26346,-2.487270018,0.252316966,-9.857720052,6.35E-23,1.05E-21,DOWN,HSP150,FALSE,NA,HIT
SK1_09T01300.1|CDS=1-666|Name=KHR1|KHR1,324.9538474,-1.876028223,0.19074201,-9.835422347,7.92E-23,1.30E-21,DOWN,KHR1,FALSE,NA,HIT
